

	

	
	Die erste Spalte ist der Zinsbetrag.  

	im Referenzzins DEUR03H01Y z.B. steht H für Hypothek und 01Y für Zinssatz für 1 Jahr Laufzeit
	
	im Referenzzins DEUR03K01Y z.B. steht K für Kommunalobligationen und 01Y für Zinssatz für 1 Jahr Laufzeit

	im Referenzzins DEUR03T01Y z.B. steht K für ungedeckte Anleihen und 01Y für Zinssatz für 1 Jahr Laufzeit



0,16	05.03.2025	DEUR03H01Y
0,16	05.03.2025	DEUR03K01Y
0,16	05.03.2025	DEUR03T01Y
0,16	06.03.2025	DEUR03H01Y
0,16	06.03.2025	DEUR03K01Y
0,16	06.03.2025	DEUR03T01Y
0,16	07.03.2025	DEUR03H01Y
0,16	07.03.2025	DEUR03K01Y
0,16	07.03.2025	DEUR03T01Y
0,16	10.03.2025	DEUR03H01Y
0,16	10.03.2025	DEUR03K01Y
0,16	10.03.2025	DEUR03T01Y
0,16	11.03.2025	DEUR03H01Y
0,16	11.03.2025	DEUR03K01Y
0,16	11.03.2025	DEUR03T01Y
0,16	12.03.2025	DEUR03H01Y
0,16	12.03.2025	DEUR03K01Y
0,16	12.03.2025	DEUR03T01Y
0,16	13.03.2025	DEUR03H01Y
0,16	13.03.2025	DEUR03K01Y
0,16	13.03.2025	DEUR03T01Y
0,16	14.03.2025	DEUR03H01Y
0,16	14.03.2025	DEUR03K01Y
0,16	14.03.2025	DEUR03T01Y
0,16	17.03.2025	DEUR03H01Y
0,16	17.03.2025	DEUR03K01Y
0,16	17.03.2025	DEUR03T01Y


